Species,Elev,A_CO,A_FR,A_SJ,BC_CO,BC_FR,BC_SJ,D_CO,D_FR,D_SJ 
Truf,2300,0,0,0,6,0,0,0,0,23
Truf,2400,5,0,0,0,0,0,0,0,0
Truf,2500,2,0,0,5,0,0,0,0,0
Truf,2600,0,0,0,0,0,0,0,0,0
Truf,2700,5,0,0,0,0,0,0,0,0
Truf,2800,0,0,0,0,0,0,0,0,0
Truf,2900,0,0,0,4,0,0,0,0,0
Truf,3000,1,0,0,0,0,0,0,0,0
Truf,3100,0,0,0,0,0,0,0,0,0
Truf,3200,0,0,0,0,0,0,0,0,0
Truf,3300,0,0,0,0,0,0,0,0,0
Truf,3400,0,0,0,0,0,0,0,0,0
Truf,3500,0,0,0,0,0,0,0,0,0
Truf,3600,0,0,0,0,0,0,0,0,0
Truf,3700,0,0,0,0,0,0,0,0,0
Truf,3800,0,0,0,0,0,0,0,0,0
Truf,3900,0,0,0,0,0,0,0,0,0
Truf,4000,0,0,0,0,0,0,0,0,0
Truf,4100,0,0,0,0,0,0,0,0,0
Truf,4200,0,0,0,0,0,0,0,0,0
Tumb,1000,0,0,0,0,0,0,0,0,0
Tumb,1100,0,0,0,0,0,0,0,0,0
Tumb,1200,0,0,0,0,0,0,0,0,0
Tumb,1300,0,0,0,0,0,0,0,0,0
Tumb,1400,0,0,0,0,0,0,0,0,0
Tumb,1500,1,0,0,0,0,0,0,0,0
Tumb,1600,0,0,0,0,0,0,0,0,0
Tumb,1700,2,0,0,0,0,0,0,0,0
Tumb,1800,0,0,0,3,0,0,0,0,0
Tumb,1900,2,0,0,0,0,0,0,0,0
Tumb,2000,14,0,0,0,0,0,0,0,0
Tumb,2100,7,1,0,0,28,0,0,0,0
Tumb,2200,6,2,0,0,8,0,0,0,0
Tumb,2300,1,17,0,1,4,0,0,2,0
Tumb,2400,13,3,0,0,8,0,0,19,0
Tumb,2500,2,18,0,1,3,0,0,0,0
Tumb,2600,3,3,0,3,3,0,0,6,0
Tumb,2700,3,6,0,0,7,0,0,1,0
Tumb,2800,5,11,0,2,0,0,9,11,0
Tumb,2900,2,0,0,0,1,0,0,4,0
Tumb,3000,6,3,0,0,0,0,5,2,0
Tumb,3100,4,0,0,0,0,0,20,1,0
Tumb,3200,2,2,0,1,0,0,2,0,0
Tumb,3300,0,10,0,0,1,0,0,13,0
Tumb,3400,2,1,0,0,0,0,0,0,0
